Entity1,Relation,Entity2
Markov Chain Monte Carlo,is_a,MCMC
Breusch-Pagan,uses,White
Combines L1,is_a,L2
NLP,co_occurs,Model Interpretability
API,is_a,ML
ML,co_occurs,AI
ML,co_occurs,Section 6
ML,co_occurs,Google Cloud
ML,co_occurs,Vertex AI
AI,co_occurs,Advanced Topics — Ethical AI & Fairness
AI,co_occurs,GDPR
AI,co_occurs,CCPA
AI,co_occurs,ISO/IEC 27001
AI,co_occurs,EU
AI,co_occurs,Data Governance Act
AI,co_occurs,USA
AI,co_occurs,ML
AI,co_occurs,Google Cloud
AI,co_occurs,Vertex AI
AI,co_occurs,PoC
AI,co_occurs,ICT
16,uses,32
SQL,co_occurs,DataFrames
SQL,co_occurs,Data Analysis & Business Understanding
SQL,co_occurs,Section 4
SQL,co_occurs,Presto/Trino
pd.merge(df1,co_occurs,Pandas
Pandas,co_occurs,Series
Pandas,co_occurs,aggfunc='sum
aggfunc='sum,co_occurs,Pandas
Q3,co_occurs,IQR
Q3,co_occurs,Q3 - Q1
Python,co_occurs,IQR
df['total,co_occurs,Pandas
NPS,uses,NPS
NPS,co_occurs,CSAT
CES,co_occurs,CSAT
Section 5,is_a,Big Data
Section 5,is_a,MLOps
Section 5,is_a,MapReduce
Section 5,co_occurs,KPI
Big Data,is_a,MLOps
Big Data,is_a,MapReduce
Big Data,co_occurs,KPI
MLOps,co_occurs,Big Data
MLOps,co_occurs,Continuous Integration/Continuous Deployment
MLOps,co_occurs,Section 5
MLOps,co_occurs,KPI
MLOps,co_occurs,Cloud
MLOps,co_occurs,ML
MapReduce,co_occurs,MLOps
Hadoop,is_a,MapReduce
Hadoop,co_occurs,Section 6
ETL,co_occurs,ELT
AWS,co_occurs,AWS S3
AWS,co_occurs,Amazon Redshift
Section 3,co_occurs,Q&A
Q&A,co_occurs,SQL
Section 4,co_occurs,BI
KPI,co_occurs,Cloud
KPI,co_occurs,Section 5
Section 6,co_occurs,CI
Spark,co_occurs,Section 6
CI,co_occurs,ICT
Section 8,co_occurs,AI
Data Safety,co_occurs,AI
EU,co_occurs,AI
EU,co_occurs,GDPR
EU,is_a,USA
EU,co_occurs,a Data Protection
GDPR,co_occurs,EU
GDPR,is_a,CCPA
GDPR,co_occurs,AI
GDPR,co_occurs,California
GDPR,co_occurs,EU AI Liability
GDPR,co_occurs,HIPAA
Section 9,is_a,EU
Section 9,is_a,USA
Section 9,is_a,GDPR
USA,co_occurs,AI
USA,co_occurs,Privacy Act
CPRA,is_a,CCPA
California,co_occurs,CCPA
HIPAA,co_occurs,California Privacy Rights Act
HIPAA,co_occurs,AI
AI Act,is_a,EU
AI Act,co_occurs,AI
NIST AI Risk Management Framework,co_occurs,AI
ISO/IEC 27001,co_occurs,Data Technologies
ISO/IEC 27001,co_occurs,ICT
EU-USA Privacy Shield,co_occurs,a Data Protection
FISMA,is_a,USA
SOC,is_a,2
SOC,co_occurs,USA
SOC,co_occurs,Federal Information Security Management Act
EU Digital Services Act,is_a,DSA
AI Bill of Rights,is_a,USA
AI Bill of Rights,co_occurs,AI
“Cookie Law,co_occurs,USA
“Cookie Law,co_occurs,AI Bill of Rights
“Cookie Law,co_occurs,AI
Data Governance Act,is_a,EU
Digital Markets Act,is_a,EU
Privacy Act,is_a,1974
NIS2,is_a,EU
ENISA,co_occurs,GDPR
EU AI Liability,co_occurs,HIPAA
EU AI Liability,co_occurs,AI
Fair Credit Reporting Act,is_a,FCRA
Fair Credit Reporting Act,is_a,USA
Fair Credit Reporting Act,co_occurs,AI
